Category,Name,Summary_en,Summary_de
Rare dog breeds,Basenji,"The Basenji (/bəˈsɛndʒi/) is a breed of hunting dog. It was bred from stock that originated in central Africa. The Fédération Cynologique Internationale places the breed in the Spitz and primitive types. The Basenji produces an unusual yodel-like sound, due to its unusually shaped larynx. This trait also gives the Basenji the nickname the 'barkless dog.'Basenjis share many distinctive traits with pariah dog types. Basenjis come into estrus only once annually similar to dingoes, New Guinea singing dogs and Tibetan Mastiffs, when compared with other dog breeds which may have two or more breeding seasons each year. Basenji lack a distinctive odor, and are prone to howls, yodels, and other vocalizations over the characteristic bark of modern dog breeds. The breed's original foundation stock came from the Democratic Republic of the Congo.","Der Basenji (auch Kongo-Terrier) ist eine von der FCI anerkannte Hunderasse (FCI-Gruppe 5, Sektion 6, Standard Nr. 43)."
Rare dog breeds,Basset Bleu de Gascogne,"The Basset Bleu de Gascogne (French pronunciation: ​[bɑsɛ blø də ɡasˈkɔɲ]), also known as the Blue Gascony Basset, is a long-backed, short legged breed of dog of the hound type. A French native breed, it is rare outside its homeland. It is recognized internationally by the Fédération Cynologique Internationale, in the UK by The Kennel Club, and by the United Kennel Club in the United States. The ""bleu"" of its name is a reference to its coat which has a ticked appearance.","Der Basset bleu de Gascogne ist eine von der FCI (Nr. 35, Gr. 6, Sek. 1.3) anerkannte französische Hunderasse."
Rare dog breeds,Basset Fauve de Bretagne,"The Basset Fauve de Bretagne is a short-legged hunting breed of dog of the scent hound type, originally from Brittany, a historical duchy of France.","Basset fauve de Bretagne ist eine von der FCI anerkannte französische Hunderasse (FCI-Gruppe 6, Sektion 1.3, Standard Nr. 36).
Der Basset Fauve de Bretagne ist ein kleiner, bis 38 cm hoher, kompakter, sehr lebhafter Jagdhund. Das Haar ist kurz, rau, hart, aber nicht wollig oder gelockt in den Farben falbfarben, von weizenfarbig bis ziegelrot. Er wird meist auf Niederwild angesetzt. Ihm wird eine außergewöhnliche Jagdbegabung nachgesagt, weshalb er bei Jägern sehr beliebt ist."
Rare dog breeds,Beauceron,The Beauceron is a herding dog breed originating from the plains of Central France. The Beauceron is also known as Berger de Beauce (sheepdog from Beauce) or  Bas Rouge (red-stockings).,"Der Beauceron ist eine von der Fédération Cynologique Internationale (FCI)  anerkannte französische Hunderasse (FCI-Gruppe 1, Sektion 1, Standard Nr. 44). Seit 2007 wird die Rasse auch vom AKC anerkannt."
Rare dog breeds,Bergamasco Shepherd,"The Bergamasco Shepherd, Italian: Cane da Pastore Bergamasco, is an Italian breed of sheepdog. It originated in the Alpi e Prealpi Bergamasche, where it was used as a herding dog for both sheep and cattle.","Der Bergamasker Hirtenhund (Cane da pastore Bergamasco) ist eine von der FCI anerkannte  italienische Hunderasse (FCI-Gruppe 1, Sektion 1, Standard Nr. 194)."
Rare dog breeds,Berger Picard,"The Berger Picard (, French: [bɛʁʒe pikaʁ]) or Picardy Shepherd, is a French herding dog originating in Picardy. These dogs nearly became extinct after both World War I and World War II and remain a rare breed.","Der Berger de Picardie ist eine von der FCI anerkannte französische Hunderasse (FCI-Gruppe 1, Sektion 1, Standard Nr. 176)."
Rare dog breeds,Billy (dog),The Billy is a large scenthound originating from central western France.,"Der Billy ist eine von der FCI anerkannte französische Hunderasse (FCI-Gruppe 6, Sektion 1.1, Standard Nr. 25)."
Rare dog breeds,Blue Lacy,"The Lacy Dog or Blue Lacy Dog is a breed of working dog that originated in the State of Texas in the mid-19th century. The Lacy was first recognized in 2001 by the Texas Senate. In Senate Resolution No. 436, the 77th Legislature honored the Lacy as ""a true Texas breed."" In 2005, in House Concurrent Resolution No. 108, the 79th Legislature called the Lacy ""a Texas original; the only dog breed to have originated in this state."" In June 2005, Governor Rick Perry signed the legislation adopting the Blue Lacy as ""the official State Dog Breed of Texas"". As expected, the vast majority of Lacy dogs are found in Texas. However, as the breed becomes more recognized, breeding populations are being established across the United States, Canada, and most recently in Europe.",Der Blue Lacy ist eine nicht von der FCI oder vom AKC anerkannte Hunderasse aus dem Bundesstaat Texas in den Vereinigten Staaten. Die Rasse wurde 2005 durch einen Beschluss des Staatsparlaments und die Unterschrift von Gouverneur Rick Perry als offizieller State Dog von Texas anerkannt.
Rare dog breeds,Blue Picardy Spaniel,"The Blue Picardy Spaniel (or Épagneul Bleu de Picardie) is a breed of Spaniel originating in France, from the area around the mouth of the River Somme, around the start of the 20th century. It is descended from Picardy Spaniels and English Setters, and is described as a quiet breed that requires much exercise due to its stamina. It is especially good with children. Similar to the Picardy Spaniel, it has a distinctive coloured coat. Recognised by only a handful of kennel associations, the breed is predominantly known in France and Canada.","Der Epagneul bleu de Picardie  ist eine von der FCI (Nr. 106, Gr. 7, Sek. 1) anerkannte Hunderasse aus Frankreich."
Rare dog breeds,Bolognese dog,"The Bolognese (pronounced [boloɲˈɲeːze]) is a small dog breed of the bichon type, originating in Italy. The name refers to the northern Italian city of Bologna. It is part of the toy dog group and is considered a companion dog.","Der Bologneser ist eine von der FCI anerkannte italienische Hunderasse (FCI-Gruppe 9, Sektion 1.1, Standard Nr. 196)."
Rare dog breeds,Bolonka,"The Russian Tsvetnaya Bolonka (Russian: Русская цветная болонка), also known as the Bolonka Zwetna in Germany, or known simply as a Bolonka is a rare toy breed of the Bichon type, developed in Moscow and Saint Petersburg, Russia, from the ancestors of smaller dogs such as the Bichon Frise, Toy Poodle, Shih Tzu, Pekingese and French Bolognese. They include the white variety, the Franzuskaya Bolonka, which is a variation of the Italian Bolognese. Franzuskaya means French, Zwetna is the German transcription for Tsvetnaya and means ""colored"", and Bolonka translates as ""Bolognese"" in a number of Slavic languages.","Der Bolonka Zwetna ist eine nicht von der FCI anerkannte Hunderasse vom Typ Bichon, die aus Russland stammt. Sie wird von der Russischen Kynologischen Vereinigung RKF (Российская Кинологичөская Фөдерация) anerkannt, die Russland in der FCI vertritt, und von dieser in FCI-Gruppe 9 eingeordnet. Seit Februar 2011 ist die Rasse auch in Deutschland vom VDH anerkannt. Die deutschen Züchter des Bolonka Zwetna sind im Verband deutscher Kleinhundezüchter organisiert."
Rare dog breeds,Borzoi,"The Borzoi or Russian Hunting Sighthound is a Russian breed of hunting dog of sighthound type. It was formerly used for wolf hunting,: 125  and until 1936 was known as the Russian Wolfhound.: 130","Der Barsoi (russisch Русская псовая борзая, transkribiert Russkaja psowaja borsaja) ist eine von der FCI anerkannte russische Hunderasse (FCI-Gruppe 10, Sektion 1, Standard Nr. 193)."
Rare dog breeds,Bouvier des Ardennes,Bouvier des Ardennes is a rare dog breed from Belgium. Originating in the Ardennes region these dogs were used to herd cattle. The loss of farms in the area led to serious decline in the numbers of these dogs until 1985 when some breeders found a few dogs and used the original breed standard as their guide in re-introducing the dog.,"Der Bouvier des Ardennes ist eine von der FCI anerkannte belgische Hunderasse (FCI-Gruppe 1, Sektion 2, Standard Nr. 171).
Es wird vermutet, dass die Rasse ursprünglich aus den Ardennen stammt und durch Kreuzung lokaler belgischer Hunderassen im 18. Jahrhundert entstand. Der Bouvier des Ardennes ist mit bis zu 62 cm und 35 kg mittelgroß, mit struppigem Fell aus mittellangem Deckhaar mit sehr dichter Unterwolle, die für den Hund einen guten Wetterschutz darstellt. Alle Farben außer weiß sind laut Standard zulässig. Die Ohren sind behaart, stehend oder hängend. Der Bouvier des Ardennes hat ein raues Wesen und Aussehen. Er ist misstrauisch gegenüber Fremden. Er ist ein intelligenter und gehorsamer Gebrauchshund. Ursprünglich wurde er zum Bewachen und Treiben von Rinderherden eingesetzt, arbeitet aber auch mit Schafen, wobei ihm seine Schnelligkeit zugutekommt. Auch als Jagdhund wurde die Rasse eingesetzt."
Rare dog breeds,Boykin Spaniel,"The Boykin Spaniel is a medium-sized breed of dog, a Spaniel bred for hunting wild turkeys and ducks in the Wateree River Swamp of South Carolina, in the United States. It is the state dog of South Carolina, where it was discovered and further developed by hunters in the 1900s. 1 September, 1984 is Boykin Spaniel Day in South Carolina.","Der Boykin Spaniel ist eine nicht von der Fédération Cynologique Internationale (FCI) anerkannte Hunderasse aus den Vereinigten Staaten, die seit 2009 vom American Kennel Club (AKC) anerkannt wird. Die Rasse ist der offizielle State Dog von South Carolina."
Rare dog breeds,Bracco Italiano,The Bracco Italiano is an Italian breed of pointing dog.,"Der Bracco Italiano ist eine von der FCI (Nr. 202, Gr. 7, Sek. 1.1) anerkannte italienische Hunderasse."
Rare dog breeds,Braque d'Auvergne,"The Braque d'Auvergne is a breed of dog originating in the mountain area of Cantal, in the historic Auvergne province in the mid-south of France. It is a pointer and versatile gundog. The breed descends from ancient regional types of hunting dogs.","Die Braque d'Auvergne ist eine von der FCI anerkannte Hunderasse aus Frankreich (FCI-Gruppe 7, Sektion 1.1, Standard Nr. 180)."
Rare dog breeds,Braque du Bourbonnais,"The Braque du Bourbonnais is a breed of gundog, of rustic appearance, sometimes born with a short tail, with a coat ticked with liver, fawn, or white","Die Braque du Bourbonnais (Bourbonnaiser Vorstehhund) ist eine von der FCI anerkannte französische Hunderasse (FCI-Gruppe 7, Sektion 1.1, Standard Nr. 179)."
Rare dog breeds,Braque Français,"The Braques Français are hunting dogs, from a very old type of gun dog used for pointing the location of game birds for a hunter. There are two breeds of Braque Français, both from the south of France,  the Braque français, type Gascogne  (French Pointing Dog – Gascogne type, larger size) and the Braque français, type Pyrénées (French Pointing Dog – Pyrenean type, smaller size) They are popular hunting dogs in France, but are seldom seen elsewhere.","Unter Französischer Vorstehhund (Braque français) führt die FCI (Nr. 133/134, Gr. 7, Sek. 1.1) zwei anerkannte Vorstehhunde aus Frankreich."
Rare dog breeds,Braque Saint-Germain,"The Braque Saint-Germain (translated into English as the St. Germain Pointing Dog) is a medium-large breed of dog, a versatile hunter used for hunting as a gun dog and pointer as well as for hunting other small game. Braque is a term meaning pointing dogs. The breed was created around 1830 by crossing English and French pointing type dogs.","Die Braque Saint-Germain ist eine von der FCI anerkannte französische Hunderasse (FCI-Gruppe 7, Sektion 1.1, Standard Nr. 115)."
Rare dog breeds,Brazilian Terrier,The Brazilian Terrier is a breed of dog developed in Brazil. It is one of several terriers and one of the two worldwide recognized native breeds of Brazil.,"Der Terrier Brasileiro ist eine seit 2007 von der FCI (Nr. 341, Gr. 3, Sek. 1) anerkannte brasilianische Hunderasse."
Rare dog breeds,Burgos Pointer,"The Burgos Pointer (Spanish: Perdiguero de Burgos), also called the Burgalese Pointer, is a breed of dog native to Spain. Originating from Castile, especially in the province of Burgos, this hardy breed is used for hunting and has some outstanding features for small game.","Der Perdiguero de Burgos (sp. für ‚Hühnerhund von Burgos‘) ist eine von der FCI anerkannte spanische Hunderasse (FCI-Gruppe 7, Sektion 1.1, Standard Nr. 90)."
Rare dog breeds,Ca de Bou,"The Ca de Bou, also known as the Perro de Presa Mallorquin, Mallorca Mastiff or the Majorcan Bulldog, is a breed of bulldog type dogs from Majorca, the largest of the Balearic Islands.","Der Ca de Bou ist eine von der FCI (Nr. 249, Gr. 2, Sek. 2.1) anerkannte spanische Hunderasse."
Rare dog breeds,Canaan Dog,"The Canaan Dog is the oldest breed of pariah dog still existing and abundant across the Middle East. It can be found in Israel,  Palestine, Jordan, Lebanon and the Sinai Peninsula, and these, or dogs nearly identical, were also found in Iraq and Syria over 9000 years ago. It is the national dog of Israel. As of 2012, there were 2,000 to 3,000 Canaan Dogs across the world.","Der Kanaan-Hund (engl. Canaan Dog) ist eine von der FCI anerkannte Hunderasse aus Israel (FCI-Gruppe 5, Sektion 6, Standard Nr. 273)."
Rare dog breeds,Canadian Eskimo Dog,"The Canadian Eskimo Dog or Canadian Inuit Dog is a breed of working dog from the Arctic. Other names include qimmiq or qimmit (Inuit language word for ""dog"").  The Greenland Dog is considered the same breed as the Canadian Eskimo Dog since they have not yet diverged enough genetically to be considered separate breeds, despite their geographic isolation.The breed is threatened with extinction, with a 2008 estimate of only 300 purebred dogs. Although once used as the preferred method of transportation by Inuit in the Canadian Arctic, by the 1960s traditional working dog teams became increasingly rare in the North. Contributing factors to the breed's decline include the increasing popularity of snowmobiles for transportation and the spread of infectious canine diseases. Controversy surrounds the intentional killings of a debated number of Inuit sled dogs between 1950 and 1970 by the Royal Canadian Mounted Police, as well as recent efforts to increase the breed's population.","Der Kanadische Eskimohund (englisch Canadian Eskimo Dog) ist eine von der FCI anerkannte kanadische Hunderasse (FCI-Gruppe 5, Sektion 1, Standard Nr. 211). Die Rasse, die zur Gruppe der Spitze gehört, entstand aus Hunden von Inuit und wurde ursprünglich als Arbeitshund eingesetzt. Die Hunde zogen Schlitten, trugen im Sommer Lasten und dienten als Jagdhunde. Entsprechend robust mussten die Hunde sein. Der Rassestandard beschreibt sie als „rudelorientiert“, sanftmütig und liebevoll, aber auch als Hunde mit fast übermäßigem Eifer bei allem, was sie tun. 
Hündinnen sind deutlich kleiner, schmaler und leichter als Rüden: Während sie bei 18–30 kg eine Schulterhöhe von 50–60 cm erreichen, werden Rüden bei 30–40 kg 58–70 cm hoch. Das Fell besteht aus sehr dichtem Unterhaar und 7–15 cm langem Deckhaar, das bei Hündinnen meist kürzer als bei Rüden ist. Rüden haben um Schulter und Hals mähnenähnlich längeres Haar, das sie größer erscheinen lässt. Kanadische Eskimohunde haben eine große buschige Rute, die meist über den Rücken eingerollt getragen wird. Die Ohren sind spitztypisch aufgerichtet. Die Augen sind dunkel, schmal und weit auseinanderstehend.
Nachdem die FCI die Rasse bereits gestrichen hatte, publizierte sie am 28. Februar 2018 einen neuen Rassestandard, dessen deutsche Übersetzung am 15. Oktober 2018 erschien, ursprünglich war der Kanadische Eskimohund am 25. Juni 1959 durch die FCI anerkannt worden.In einer 2015 erschienenen Arbeit, bei der anhand autosomaler, paternaler und maternaler DNA-Marker Beziehungen zwischen nordamerikanischen arktischen Hunderassen untersucht wurden, kamen die Autoren zu dem Schluss, dass die Hunde der Inuit aus Kanada und Grönland (siehe Grönlandhund) nicht in zwei verschiedene Rassen unterschieden werden sollten, so wie es auch Arbeiten vor dieser gefunden hatten. Erst die jüngere Zucht hat – insbesondere sichtbar an Mustern in Y-Chromosomen, nicht aber in mtDNA – zu Unterschieden geführt. Die Hunde wurden nicht separat gezüchtet, jedenfalls nicht über mehrere Generationen.Seit dem Klondike-Goldrausch gab es winters reguläre Postverbindungen im Yukon-Territorium bis nach Alaska, die von diesen Schlittenhunden aufrechterhalten wurden, in Teams von mindestens vier, meistens sechs Tieren und zwei Menschen; im Sommer hielten Pferde und Kanuten die Routen in Betrieb. Das Nationalmuseum für Geschichte und Gesellschaft Kanadas zeigt online eine große Dauerausstellung über diesen weltweit einmaligen Dienst der Canada Post. Bereits 1988 gab die Post Kanadas eine Serie von vier Briefmarken heraus, welche Eskimo-Hunde zeigt. Die Online-Ausstellung bietet auch Abbildungen der verwendeten Poststempel. Die Hunde mussten im Einsatz Mokassins tragen, um Verletzungen durch spitze Eispickel unter dem Schnee zu vermeiden."
Rare dog breeds,Carolina Dog,"The Carolina dog, also known as a yellow dog, yaller dog, American Dingo, or Dixie Dingo, is a breed of medium-sized dog occasionally found feral in Southeastern United States, especially in isolated stretches of longleaf pines and cypress swamps. Efforts to establish them as a standardized breed has gained the Carolina Dog breed recognition in two smaller kennel clubs and full acceptance into the breed-establishment program of one major kennel club.
Originally a landrace breed, the Carolina dog was rediscovered living as free-roaming population by I. Lehr Brisbin Jr., though originally documented in American dog-related publications in the 1920s. Carolina dogs show admixture with dog breeds from east Asia.","Der Carolina Dog ist eine nicht von der FCI anerkannte Hunderasse aus den USA, die sowohl in Menschenhand als auch in freier Wildbahn existiert. Der Carolina Dog ist vom United Kennel Club (UKC) als Rasse anerkannt."
Rare dog breeds,Catahoula Leopard Dog,"The Catahoula Leopard Dog is an American dog breed named after Catahoula Parish, Louisiana. It became the state dog of Louisiana in 1979. It is recognized by the United Kennel Club under the name Louisiana Catahoula Leopard Dog, while the American Kennel Club Foundation Stock Service calls it Catahoula Leopard Dog. Both registries have assigned the breed a herding group designation, although it has traditionally been used in hunting feral boars.",Der Louisiana Catahoula Leopard Dog ist eine nicht von der FCI anerkannte Hunderasse aus den USA. Die Rasse wird vom UKC anerkannt und vom AKC im Hinblick auf eine mögliche Anerkennung in seinem Foundation Stock Service geführt. Die Rasse ist seit 1979 der offizielle State Dog des US-Bundesstaats Louisiana.
Rare dog breeds,Český strakatý pes,"The Bohemian Spotted Dog (Czech: český strakatý pes, originally Horák's laboratory dog - Horákův laboratorní pes) is a medium-sized dog breed. Originally bred for laboratory purposes by František Horák in Prague in the 1950s, the breed is now primarily a companion dog. This breed is recognized by the Czech Kennel Club but is not FCI recognized.","Der Český strakatý pes (tschechisch für Tschechischer gescheckter/gefleckter Hund), kurz Strakáč (tschechisch für Gescheckter), ist eine nicht von der FCI anerkannte Hunderasse aus Tschechien. Sie wird von der Českomoravská kynologická unie (ČMKU) anerkannt, die Tschechien in der FCI vertritt und von dieser in FCI-Gruppe 9, Sektion 10 eingeordnet. Die Züchter des Český strakatý pes sind im Klub Chovatelů Málopočetných plemen psů und im Spolek českého strakatého psa organisiert."
Rare dog breeds,Cesky Terrier,"The Cesky Terrier ( CHES-kee; Czech: Český teriér, lit. 'Bohemian Terrier' or 'Czech Terrier') is a small terrier type dog originating in  Czechoslovakia.","Der Tschechische Terrier (Český Teriér) ist eine von der FCI anerkannte tschechische Hunderasse (Nr. 246, Gr. 3, Sek. 2)."
Rare dog breeds,Chien Français Blanc et Orange,"The Chien Français Blanc et Orange is a breed of dog of the scenthound type, originating in France. The breed is used for hunting in packs and descends from the old Hound of Saintonge type of large hunting dog.","Unter der Rassebezeichnung Französischer Laufhund führt die FCI drei französische Hunderassen (FCI-Gruppe 6, Sektion 1.1, Standard Nr. 219, 220 und 316).
Die drei französischen Laufhundrassen unterscheiden sich im Wesentlichen durch ihre Farben. Sie werden in Frankreich in Meuten gehalten und hauptsächlich für die Hirschjagd verwendet. In Deutschland werden einige Meuten Français tricolore für Schleppjagden gehalten. Die Hunde sind kräftig gebaut, gut bemuskelt und von elegantem Aussehen:

Français tricolore (219) (Französischer Dreifarbiger Laufhund)
Français blanc et noir (220) (Französischer Weiß-Schwarzer Laufhund)
Français blanc et orange (316) (Französischer Weiß-Oranger Laufhund)Allen gemeinsam ist die Größe von bis zu 72 cm. Das Haar ist kurz und fein; die Ohren sind auf Augenhöhe angesetzt, hängend; nach vorne gelegt reichen sie etwa bis zum Nasenschwamm."
Rare dog breeds,Chinook (dog),"The Chinook is a breed of sled dog, developed in the state of New Hampshire during the early 20th century. The Chinook is New Hampshire's official state dog.",Der Chinook ist eine nicht von der FCI anerkannte Hunderasse aus den USA. Er wird durch den UKC und seit dem 1. Januar 2013 durch den AKC anerkannt. Die Rasse ist der offizielle State Dog des US-Bundesstaats New Hampshire.
Rare dog breeds,Cirneco dell'Etna,"The Cirneco dell'Etna is an Italian breed of hunting dog from the Mediterranean island of Sicily. It is named for the Etna volcano in eastern Sicily. It has a keen sense of smell, and is used to hunt small game, particularly rabbits. As with many working dogs, registration is conditional on successful completion of a working trial.","Der Cirneco dell’ Etna ist eine von der FCI anerkannte italienische Hunderasse, die von der Insel Sizilien stammt (FCI-Gruppe 5, Sektion 7, Standard Nr. 199)."
Rare dog breeds,Clumber Spaniel,"The Clumber Spaniel is a breed of dog of the spaniel type, developed in the United Kingdom. It is the largest of the spaniels, and comes in predominantly white with either lemon or orange markings. The name of the breed is taken from Clumber Park in Nottinghamshire where the breed was first developed. It is a gundog that specialises in hunting in heavy cover. They are gentle and loyal, and can act aloof with strangers. They have several habits which could be considered disadvantages, including a constant shedding of its coat and snoring.
The history of the breed is uncertain prior to the mid-19th century with two theories being prevalent. Clumber Spaniels have been kept and bred by various members of the British Royal Family, including Prince Albert, King Edward VII and King George V. They were introduced into Canada in 1844, and in 1884 became one of the first ten breeds recognised by the American Kennel Club. The breed can suffer from a variety of breed-specific ailments varying in severity from temporary lameness due to bone growth whilst young to hip dysplasia or spinal disc herniation.","Der Clumber Spaniel ist eine von der FCI anerkannte britische Hunderasse (FCI-Gruppe 8, Sektion 2, Standard Nr. 109)."
Rare dog breeds,Continental bulldog,"The Continental Bulldog, or Conti for short, is a newer dog breed created in Switzerland. It is officially recognized by the FCI since 2022.",Der Continental Bulldog ist eine von der FCI 30.03.2022 provisorisch anerkannte Hunderasse aus der Schweiz.
Rare dog breeds,Coton de Tulear,"The Coton de Tuléar is a breed of small dog named for the city of Tuléar (also known as Toliara) in Madagascar. This breed is thought to have originated from a group of small white dogs that swam across the Malagasy channel following a shipwreck. Known for its cotton-like coat, the Coton de Tuléar typically grows to no more than 18 pounds (8.2 kg), and are white, sometimes with grey, tan, black, or tri-colored markings. The Coton de Tuléar Day is celebrated on November 26th.","Der Coton de Tuléar (auch Baumwollhund) ist eine von der FCI anerkannte Hunderasse aus Madagaskar (FCI-Gruppe 9, Sektion 1.2, Standard Nr. 283). Das Patronat liegt bei Frankreich, das heißt, der Rassestandard wird vom französischen Zuchtverband entwickelt."
Rare dog breeds,Czechoslovakian Wolfdog,"The Czechoslovakian Wolfdog (Czech: Československý vlčák, Slovak: Československý vlčiak, German: Tschechoslowakischer Wolfhund) is a wolf-dog breed that began as an experiment conducted in Czechoslovakia in 1955.
After initially breeding working line German Shepherds with Carpathian grey wolves, a plan was worked out to create a breed that would have the temperament, pack mentality, and trainability of the German Shepherd and the strength, physical build and stamina of the Carpathian wolf. The breed were originally used as Border patrol dogs but were later also used in search and rescue, Schutzhund sport, tracking, herding, agility, obedience, hunting, and drafting in Europe and the United States.
It was officially recognized as a national breed in Czechoslovakia in 1982, and was officially recognised as a breed by Fédération Cynologique Internationale (FCI) in 1989.","Der Tschechoslowakische Wolfhund (tschechisch československý vlčák, slowakisch československý vlčiak) ist eine von der FCI anerkannte Hunderasse aus der ehemaligen Tschechoslowakei (FCI-Gruppe 1, Sektion 1, Standard Nr. 332)."
