,Category,Name,Summary_en,Summary_de
10,Gambling games,Casino War,"Casino War is a proprietary casino table game based on the game of War. It is distributed by Shuffle Master, a division of Scientific Games. The game is one of the most easily understood casino card games.","Bataille royale oder Casino War ist ein vor allem in französischen und amerikanischen Spielbanken betriebenes Glücksspiel.
Der Ursprung dieses Casinospiels liegt in einem weit verbreiteten Kartenspiel für Kinder, das im deutschen Sprachraum als Leben und Tod bzw. Krieg und Frieden, in Österreich als Kriegeln, in der Schweiz als Burechrieg (Bauernkrieg) und in Frankreich als Bataille (dt. Schlacht) bekannt ist. In Großbritannien heißt das Spiel Battle, in den USA War (dt. Krieg)."
11,Gambling games,Cee-lo,"Cee-lo is a gambling game played with three six-sided dice.  There is not one standard set of rules, but there are some constants that hold true to all sets of rules. The name comes from the Chinese Sì-Wŭ-Liù (四五六), meaning ""four-five-six"". In America it is also called ""See-Low,"" ""Four-Five-Six,"" ""The Three Dice Game,"" ""Roll-off!,"" and by several alternative spellings, as well as simply ""Dice."" In China it is also called ""Sān Liù Bàozi"" (三六豹子), or ""Three-Six Leopards"". In Japan, it is known as ""Chinchiro"" (チンチロ) or ""Chinchirorin"" (チンチロリン).
The constants include the number of dice used, which is always three.  All rules describe certain winning combinations that can be rolled, and 4-5-6 is always treated as a winning combination for the first player who rolls it (though in some variants without a banker, it may be possible for several players to make a ""winning combination,"" requiring a second shootout).  Besides the winning combinations, all Cee-lo rules include certain rolls that establish a ""point,"" and there are situations where two or more players will roll and compare their points to determine a winner. If for any reason the dice were to leave the playing area (ex: rolling off of the table and hitting the floor) the player would be deemed an automatic loss.
The various sets of rules can be divided into two broad categories according to how betting is handled.  In banking games, one player serves as a banker, who covers the individual bets of the other players, each of whom competes directly with the bank.  In non-banking games, each player has essentially equal status, and rules must exist for the players to pool their bets and attempt to win from a common pot.","Cee-lo, kurz auch C-Lo, See-Low oder Four-Five-Six bzw. 4-5-6 ist ein Würfelspiel mit drei sechsseitigen Würfeln.
Das Spiel wurde von chinesischen Einwanderern in die USA gebracht, so dass sich auch der Name aus dem Chinesischen ableitet: Sì-Wŭ-Liù (chinesisch 四五六 – „4-5-6“). In China heißt das Spiel Sānliù Bàozi (chinesisch 三六豹子 – „3-6-Würfel“). Das Spiel ist auch als Chinchirorin (jap. チンチロリン) bekannt, was jedoch im engeren Sinne die japanische Variante bezeichnet.
In den USA ist es ein beliebtes Spiel in den Ghettos, wobei beliebig viele Mitspieler mit Geld, Chips oder nur zum Spaß gegen einen einzelnen Mitspieler wetten und würfeln. Es wird auch illegal um Geld gespielt. Das Spiel findet oftmals an Straßenecken auf dem Boden oder auf einem Stück Karton statt. Man kennt diese Szenerie aus vielen Rapvideos, von Stars wie 2Pac, Biggie Smalls, Jay-Z, Nas, Cam’ron und aus diversen US-Ghettofilmen. Häufig wird auch Craps gespielt, was für Außenstehende von weitem leicht verwechselt werden kann. Es gibt ein auf Cee-lo basierendes, kommerzielles Brettspiel."
12,Gambling games,Chratze,"Chratze (German pronunciation: [xratsə]; ""raking"") is a trick taking card game, mainly played in the German-speaking part of Switzerland as well as in Bavaria (there known as Zwicken and played with 3 cards). It is one of over 70 variants of Jass and played with a pack of 36 cards, either a Swiss-German or French one. It appears to be related to the Austrian game, Kratzen.
Theoretically it can be played by 2-7 people, however it is most common and enjoyable are 4-5 players.
Four cards are dealt, therefore there are 4 tricks to be taken.","Chratze ist ein Kartenspiel, das hauptsächlich in der Deutschschweiz und somit wahlweise mit französischen oder deutschen/deutschschweizer Jasskarten gespielt wird, und bildet eine der vielen Varianten des Jass. Es kann theoretisch von 2 bis 7 Spielern gespielt werden, optimal sind 4 bis 5 Spieler."
13,Gambling games,Craps,"Craps is a dice game in which players bet on the outcomes of the roll of a pair of dice. Players can wager money against each other (playing ""street craps"") or against a bank (""casino craps"").  Because it requires little equipment, ""street craps"" can be played in informal settings. While shooting craps, players may use slang terminology to place bets and actions.","Craps bzw. Craps shooting oder Seven Eleven ist ein Würfelspiel, das sich vor allem in den USA großer Beliebtheit erfreut. Craps ist eine Vereinfachung des alt-englischen Spiels Hazard, die Bernard de Mandeville aus New Orleans im Jahre 1813 eingeführt haben soll.
Der Name Craps leitet sich vom englischen Wort Crab, dt. Krabbe, ab, der bereits im 16. Jahrhundert gebräuchlichen Bezeichnung für den Wurf einer Einser-Dublette."
14,Gambling games,Darts,"Darts or dart-throwing is a competitive sport in which two or more players bare-handedly throw small sharp-pointed missiles known as darts at a round target known as a dartboard.Points can be scored by hitting specific marked areas of the board, though unlike in sports such as archery, these areas are distributed all across the board and do not follow a principle of points increasing towards the centre of the board. Though a number of similar games using various boards and rules exist, the term ""darts"" usually now refers to a standardised game involving a specific board design and set of rules.
Darts is both a professional shooting sport and a traditional pub game.  Darts is commonly played in the United Kingdom and the Republic of Ireland, and recreationally enjoyed around the world.","Darts, auch Dart (süddeutsch Spicken/Spicker/Spickern), ist ein Geschicklichkeitsspiel und ein Präzisionssport, bei dem mit Pfeilen (den Darts, süddeutsch Spickern) auf eine runde Scheibe (die Dartscheibe) geworfen wird."
15,Gambling games,Dominoes,"Dominoes is a family of tile-based games played with gaming pieces, commonly known as dominoes. Each domino is a rectangular tile, usually with a line dividing its face into two square ends. Each end is marked with a number of spots (also called pips or dots) or is blank. The backs of the tiles in a set are indistinguishable, either blank or having some common design. The gaming pieces make up a domino set, sometimes called a deck or pack.  The traditional European domino set consists of 28 tiles, also known as pieces, bones, rocks, stones, men, cards or just dominoes, featuring all combinations of spot counts between zero and six. A domino set is a generic gaming device, similar to playing cards or dice, in that a variety of games can be played with a set. Another form of entertainment using domino pieces is the practice of domino toppling.

The earliest mention of dominoes is from Song dynasty China found in the text Former Events in Wulin by Zhou Mi (1232–1298). Modern dominoes first appeared in Italy during the 18th century, but they differ from Chinese dominoes in a number of respects, and there is no confirmed link between the two. European dominoes may have developed independently, or Italian missionaries in China may have brought the game to Europe.The name ""domino"" is probably derived from the resemblance to a kind of carnival costume worn during the Venetian Carnival, often consisting of a black-hooded robe and a white mask. Despite the coinage of the word ""polyomino"" as a generalization, there is no connection between the word ""domino"" and the number 2 in any language.
The most commonly played domino games are Domino Whist, Matador, and Muggins (All Fives). Other popular forms include Texas 42, Chicken Foot, Concentration, Double Fives, and Mexican Train. In Britain, the most popular league and pub game is Fives and Threes.","Domino ist ein Legespiel mit zumeist 28 (vgl. unten) rechteckigen Spielsteinen, meist aus Holz oder Kunststoff. Professionelle Spielsteine haben im Allgemeinen eine Größe von ca. 56 × 28 × 13 mm. Die Steine sind in zwei Felder geteilt, auf welchen zwischen null und je nach Umfang des Satzes bis zu 18 Augen in jeweils allen möglichen Kombinationen abgebildet sind. Nach der höchsten Augenzahl im Spiel unterscheidet man Doppel-6er, Doppel-9er, Doppel-12er, Doppel-15er und Doppel-18er Dominosets. Um das Spiel zu erleichtern, sind die Augenzahlen verschiedener Felder oft unterschiedlich koloriert."
16,Gambling games,Dou dizhu,"Dou dizhu (simplified Chinese: 斗地主; traditional Chinese: 鬥地主; pinyin: dòu dìzhǔ; Jyutping: dau3 dei6 zyu2; lit. 'fighting the landlord') is a card game in the genre of shedding and gambling. It is one of the most popular card games played in China.
Dou dizhu is described as easy to learn but hard to master, requiring mathematical and strategic thinking as well as carefully planned execution. Suits are irrelevant in playing dou dizhu. Players can easily play the game with a set of dou dizhu playing cards, without the suits printed on the cards. Less popular variations of the game do exist in China, such as four-player and five-player dou dizhu played with two packs of cards.","Dou Di Zhu, (chinesisch 鬥地主, Pinyin Dòu Dìzhǔ); etwa „Kampf dem Lehnsherrn“ ist ein in China sehr beliebtes Kartenspiel, bei dem es darum geht, möglichst schnell alle Karten abzulegen."
17,Gambling games,Dreidel,"A dreidel, also dreidle or dreidl ( DRAY-dəl; Yiddish: דרײדל, romanized: dreydl, plural: dreydlech; Hebrew: סביבון, romanized: sevivon) is a four-sided spinning top, played during the Jewish holiday of Hanukkah. The dreidel is a Jewish variant on the teetotum, a gambling toy found in many European cultures.
Each side of the dreidel bears a letter of the Hebrew alphabet:
נ‎ (nun),
ג‎ (gimel),
ה‎ (hei),
ש‎ (shin).
These letters are represented in Yiddish as a mnemonic for the rules of a gambling game derived from teetotum played with a dreidel: nun stands for the word נישט (nisht, ""not"", meaning ""nothing""), gimel for גאַנץ (gants, ""entire, whole""), hei for האַלב (halb, ""half""), and shin for שטעל אַרײַן (shtel arayn, ""put in""). However, according to folk etymology, they represent the Hebrew phrase נֵס גָּדוֹל הָיָה שָׁם (nes gadól hayá sham, ""a great miracle happened there""), referring to the miracle of the cruse of oil. For this reason, most dreidels in Israel replace the letter shin with a letter 
פ‎ (pe),
to represent the phrase נֵס גָּדוֹל הָיָה פֹּה (nes gadól hayá po, ""a great miracle happened here""); however, many Haredi communities insist that the letter shin should be used in the Holy Land as well, because the reference to ""there"" means in the Holy Temple and not in the Land.
While not mandated (a mitzvah) for Hanukkah (the only traditional mitzvot are lighting candles and saying the full hallel), spinning the dreidel is a traditional game played during the holiday.Astronaut Jeffrey A. Hoffman spun a dreidel made by Israeli silversmith Gideon Hay for an hour in outer space.","Ein Dreidel (Trendl (jiddisch), draydel (englische Schreibweise), hebräisch סביבון sewiwon), auch Dreidl, ist ein Kreisel mit vier Seiten. Es handelt sich nicht, wie oft vermutet, um einen Gebetskreisel, sondern um ein traditionsreiches Spielzeug, das von europäisch-jüdischen Kindern während des achttägigen Lichterfestes Chanukka gedreht wird. Jede Seite des Dreidels zeigt einen anderen hebräischen Buchstaben:
נ (Nun), ג (Gimel), ה (He), ש (Schin). Anstelle des Buchstaben Schin findet man in Israel auch ein פ (Pe). Sie stehen für den Satz:

נס גדול היה שם (Nes gadol haja scham, „Ein großes Wunder geschah dort.“) bzw.
נס גדול היה פה (Nes gadol haja po, „Ein großes Wunder geschah hier.“)"
18,Gambling games,Écarté,"Écarté is an old French casino game for two players that is still played today. It is a trick-taking game, similar to whist, but with a special and eponymous discarding phase; the word écarté meaning ""discarded"". Écarté was popular in the 19th century, but is now rarely played. It is described as ""an elegant two-player derivative of Triomphe [that is] quite fun to play"" and a ""classic that should be known to all educated card players.""","Écarté oder Ekartee (von französisch écarter „weglegen“), auch Spiel der Kavaliere genannt, ist ein ursprünglich französisches Kartenspiel für zwei Personen.
Das Écarte-Jouette oder Jouettespiel [sic] wurde 1933 als Glücksspiel verboten. Durch kleinere Änderungen der Regeln versuchte man die Einstufung als Glücksspiel zu umgehen, und so entstanden die Écarté-Varianten namens Casino (nicht zu verwechseln mit Casino, siehe dort), Ramso und Bara (kurz für Bayrisch Rams). In diesen Spielarten blieb Écarté noch bis in die 1950er Jahre in Deutschland verbreitet. In Frankreich kann man auch heute noch in vielen Clubs und Spielbanken Écarté spielen."
19,Gambling games,Fan-Tan,"Fan-Tan, or fantan (simplified Chinese: 番摊; traditional Chinese: 番攤; pinyin: fāntān; Jyutping: faan1 taan1; lit. 'repeated divisions') is a gambling game long played in China. It is a game of pure chance which has similarities to roulette.
The game is played by placing two handfuls of small objects on a board and guessing the remaining count when divided by four. After players have cast bets on values of 1 through 4, the dealer or croupier repeatedly removes four objects from the board until only one, two, three or four beans remain, determining the winner.","Fan Tan oder Fan-Tan, Fantan (vereinfachtes Chinesisch: 番摊; traditionelles Chinesisch: 番攤; Pinyin: fāntān, wörtlich: ""mehrfache Abteilungen"") ist ein sehr einfaches, chinesisches Glücksspiel mit Bohnen, das sich in China vor allem in den Spielbanken von Macau großer Beliebtheit erfreut."
20,Gambling games,Glückshaus,Glückshaus (House of Fortune) is a gambling dice game for multiple players. It is played with two dice on a numbered board. The name was coined in the 1960s by Erwin Glonnegger who also created the modern design of the board by merging older dice games with a staking board for a card game.,"Glückshaus ist ein Glücksspiel für mehrere Spieler auf einem Spielbrett mit zwei Würfeln. Sowohl der Name „Glückshaus“ als auch Details des modernen Spielbretts stammen aus der zweiten Hälfte des 20. Jahrhunderts, als Erwin Glonnegger die Regeln eines älteren Würfelspiels (Siebenerspiel) mit dem Spielbrett eines Kartenspiels des 16. Jahrhunderts kombinierte. Die Tradition der Vorlage, des Siebenerspiels, das unter verschiedenen Namen bekannt war, reicht bis um 1500 zurück. Georg Himmelheber weist auf ähnliche Spielelemente beim Käutzchenspiel  und Poch hin.Weitere Namen für das Siebenerspiel oder Varianten davon sind: (Lustige) Sieben, Pinke, Böse Sieben, Der Siebener trinckt, und in anderen Sprachen Jeu du Juif, Gioco della Barca, Arlequinspel, Lucky Pig und House of Fortune."
21,Gambling games,Hazard (game),"Hazard is an early English game played with two dice; it was mentioned in Geoffrey Chaucer's Canterbury Tales in the 14th century.
Despite its complicated rules, hazard was very popular in the 17th and 18th centuries and was often played for money.  At Crockford's Club in London, hazard was especially popular.  In the 19th century, the game craps developed from hazard through a simplification of the rules. Craps is now popular in North America but neither game remains popular amongst the rest of the world.","Hazard, altengl. oder frz. Hasard, ist ein altenglisches Spiel mit zwei Würfeln, das bereits im 14. Jahrhundert von Geoffrey Chaucer in den Canterbury Tales erwähnt wird. Der Name Hasard leitet sich vom arabischen yasara für „würfeln“ ab.Hazard war – trotz der komplizierten Regeln – im 17. und 18. Jahrhundert so beliebt, dass es zu dem Glücksspiel schlechthin wurde. Glücksspiele werden daher auch allgemein als Hasardspiele bezeichnet. In Crockford’s, Almack’s und Brooks’s Club in London wurde Hazard besonders gerne gespielt.
Hazard war bereits frühzeitig auch unter dem Namen Craps bekannt. Das moderne Craps, welches privat und in Casinos gespielt wird, ist durch Vereinfachung der ursprünglichen Regeln Anfang des 19. Jahrhunderts aus Hazard hervorgegangen (vgl. u.).
Neben dem Spiel mit zwei Würfeln existierte auch eine Variante mit drei Würfeln. Der Name Grand Hazard für das Spiel mit drei anstelle von nur zwei Würfeln meint heute jedoch das Spiel Sic Bo bzw. Chuck a Luck."
22,Gambling games,Schwimmen,"Schwimmen or Einunddreißig (in Germany also Knack, Schnauz, Wutz and  Bull; in Austria as Hosen runter, Hosn obe, Hosn obi, Hosn owi and Hose ab (Vorarlberg); in Switzerland as Hosenabe) is a social card game for two to nine players, played with a 32-card Piquet pack, that is popular in Austria and Germany. Although it is also called Einunddreißig (Thirty-one or French: Trente-et-un), this should not be confused with a predecessor of Siebzehn und Vier (Twenty-One), also called Einunddreißig. Schwimmen is German for ""swimming"" which refers to the last chance that a player gets before they drop out. 
Variants or similar games in the United States and Great Britain go under the names of Thirty-One, Blitz and Scat, but are played with a 52-card pack. Schwimmen is also played in tournament form.","Schwimmen oder Einunddreißig (regional u. a. auch Knack, Schnauz, Wutz, Bull und Hosn obi) ist ein Karten-Glücksspiel für zwei bis neun Personen. Der Name Einunddreißig (französisch Trente-et-un) bezeichnet aber auch einen Vorläufer von Siebzehn und Vier, bei dem eben 31 Punkte anstelle von 21 das beste Ergebnis sind.
Varianten bzw. ähnliche Spiele sind in den Vereinigten Staaten und Großbritannien unter den Namen Thirty-One, Blitz und Scat bekannt; Schwimmen kann auch als Turnier gespielt werden.
Auf der Liste verbotener Spiele des k.u.k. Justizministeriums ist dieses Spiel unter den Namen Trente-un und Feuer aufgelistet – während sich der erstere Name auch auf den oben erwähnten Siebzehn und vier-Vorläufer beziehen kann, weist der Name Feuer eindeutig auf dieses Spiel hin, da in der gebräuchlichsten Variation einer Hand von drei Assen (Feuer) besondere Bedeutung zukommt (siehe unten)."
23,Gambling games,Keno,"Keno  is a lottery-like gambling game often played at modern casinos, and also offered as a game in some lotteries.
Players wager by choosing numbers ranging from 1 through (usually) 80. After all players make their wagers, 20 numbers (some variants draw fewer numbers) are drawn at random, either with a ball machine similar to ones used for lotteries and bingo, or with a random number generator.
Each casino sets its own series of payouts, called ""paytables"". The player is paid based on how many numbers were chosen (either player selection, or the terminal picking the numbers), the number of matches out of those chosen, and the wager.
There are a wide variety of keno paytables depending on the casino, usually with a larger ""house edge"" than other games, ranging from less than 4 percent to over 35 percent in online play, and 20-40% in in-person casinos. By way of comparison, the typical house edge for non-slot casino games is under 5%.","Keno ist ein Glücksspiel, das ursprünglich aus dem Kaiserreich China stammt. Es ist eine moderne, schnelle Zahlenlotterie. Die Besonderheit von keno ist das variantenreiche Spielsystem mit variablen Einsätzen, verschiedenen keno-Typen und festen Gewinnquoten. Keno unterscheidet sich von anderen Lotterien vor allem durch sein außergewöhnliches Spielsystem 10 aus 20 aus 70."
24,Gambling games,List of games prohibited in Austria-Hungary,"In 1904, the Imperial and Royal Ministry of Justice (k. u. k. Justizministerium) published the following list of games prohibited in Austria-Hungary. It was expanded by the state of Austria in 1933, was exemplary in Austria for many years and now represents a culturally and historically interesting list of the sort of gambling that was popular at that time.
It is particularly noteworthy that there are also some bowling and billiard games on this list, which today are regarded more as games of skill.","Das k. u. k. Justizministerium veröffentlichte im Jahre 1904 die folgende Liste verbotener Spiele, die 1933 ergänzt wurde und in Österreich über viele Jahre beispielgebend war und eine kulturhistorisch interessante Aufstellung der damals beliebten Glücksspiele darstellt.
Bemerkenswert ist insbesondere, dass sich auch einige Kegel- und Billardspiele auf dieser Liste finden, die nach heutiger Auffassung eher als Geschicklichkeitsspiele angesehen werden."
25,Gambling games,Mahjong,"Mahjong or mah-jongg (English pronunciation:  mah-JONG) is a tile-based game that was developed in the 19th century in China and has spread throughout the world since the early 20th century. It is commonly played by four players (with some three-player variations found in parts of China, Japan, South Korea and Southeast Asia). The game and its regional variants are widely played throughout East and Southeast Asia and have also become popular in Western countries. The game has also been adapted into a widespread online entertainment. Similar to the Western card game rummy, Mahjong is a game of skill, strategy, and luck. To distinguish it from mahjong solitaire, it is sometimes referred to as mahjong rummy.The game is played with a set of 144 tiles based on Chinese characters and symbols, although many regional variations may omit some tiles or add unique ones. In most variations, each player begins by receiving 13 tiles. In turn, players draw and discard tiles until they complete a legal hand using the 14th drawn tile to form four melds (or sets) and a pair (eye). A player can also win with a small class of special hands. While many variations of mahjong exist, most variations have some basic rules in common including how a piece is drawn and discarded, how a piece is robbed from another player, the use of suits (numbered tiles) and honors (winds and dragons), the basic kinds of melds allowed, how to deal the tiles and the order of play. Beyond these basic common rules, numerous regional variations exist which may have notably different criteria for legal melds and winning hands, radically different scoring systems and even elaborate extra rules. A group of players may introduce their own house rules which can notably change the feel of play.","Mah-Jongg (), auch Mahjongg oder Mahjong (chinesisch 麻將 / 麻将, Pinyin májiàng, Jyutping maa4zoeng3 ; Kantonesisch 麻雀,  máquè, Jyutping maa4zoek3 – „Sperlingsvögel“ ; hist. 麻雀牌,  máquèpái, Jyutping maa4zoek3paai4*2 – „Sperlingsspiel“) genannt, ist ein chinesisches Spiel für vier Personen."
26,Gambling games,Mauscheln,"Mauscheln, also Maus or Vierblatt, is a gambling card game that resembles Tippen, which is commonly played in Germany and the countries of the old Austro-Hungarian Empire.","Mauscheln, auch Maus oder Vierblatt, ist ein dem Tippen ähnliches Karten-Glücksspiel, das in Deutschland und den Ländern des früheren Österreich-Ungarn weit verbreitet war. 
Der Name Mauscheln bedeutet so viel wie „(heimliches) Sprechen“. Nach Meyers Konversationslexikon von 1885 bis 1892 leitet sich das Wort Mauschel vom hebräischen Moscheh „Moses“, in aschkenasischer Aussprache Mausche, Mousche, ab und war ein Spottname für Jude; mauscheln bedeutete im älteren Deutsch so viel wie „jüdeln, schachern“. Heute wird mauscheln synonym zu intrigieren, kungeln, mogeln verwendet.Weitere Namen des Spiels sind Polnische Bank (vgl. aber hier) oder Panczok, auch Kratzen, Angehen oder Frische Vier."
27,Gambling games,Medal game,"Medal games (メダルゲーム, medaru gēmu) are a type of arcade game commonly found in amusement arcades and casinos, especially in Japan. In order to play a medal game, a customer must first exchange their cash into medals (metal coins, much like an arcade token). The rate of medals versus cash varies from arcade to arcade, but usually the cheapest range is from ¥300 all the way up to ¥10,000.  
While many of the medal games simulate gambling, the medals cannot be traded back into cash, but only used to play more games, or exchanged (via paper tickets) for prizes.
There are many types of medal games, but the two most popular are the gambling type and the pusher game type.","Ein Münzschieber (engl. auch Coin pusher oder Penny pusher) ist ein Spielautomat, in dem Münzen auf einer oder mehreren Ebenen geschoben werden."
